label,bit,carton_pk,SDSSC2BV,program,version,v1,name,mapper,alt_program,alt_name
unused,0,-1,4,na,0.1.0,1.0,na,na,na,na
mwm_snc_100pc_0.1.0,1,126,4,mwm_snc,0.1.0,1.0,mwm_snc_100pc,mwm,snc,mwm_snc
mwm_snc_250pc_0.1.0,2,127,4,mwm_snc,0.1.0,1.0,mwm_snc_250pc,mwm,snc,mwm_snc
mwm_cb_300pc_0.1.0,3,128,4,mwm_cb,0.1.0,1.0,mwm_cb_300pc,mwm,cb,mwm_cb_300pc
mwm_cb_cvcandidates_0.1.0,4,134,4,mwm_cb,0.1.0,1.0,mwm_cb_cvcandidates,mwm,cb,mwm_cb_cvcandidates
mwm_halo_sm_0.1.0,5,140,4,mwm_halo,0.1.0,1.0,mwm_halo_sm,mwm,halo,mwm_halo_sm
mwm_halo_bb_0.1.0,6,143,4,mwm_halo,0.1.0,1.0,mwm_halo_bb,mwm,halo,mwm_halo_bb
mwm_yso_s1_0.1.0,7,144,4,mwm_yso,0.1.0,1.0,mwm_yso_s1,mwm,yso,mwm_yso_disk
mwm_yso_s2_0.1.0,8,145,4,mwm_yso,0.1.0,1.0,mwm_yso_s2,mwm,yso,mwm_yso_embedded
mwm_yso_s2-5_0.1.0,9,146,4,mwm_yso,0.1.0,1.0,mwm_yso_s2-5,mwm,yso,mwm_yso_nebula
mwm_yso_s3_0.1.0,10,147,4,mwm_yso,0.1.0,1.0,mwm_yso_s3,mwm,yso,mwm_yso_variable
mwm_yso_ob_0.1.0,11,148,4,mwm_yso,0.1.0,1.0,mwm_yso_ob,mwm,yso,mwm_yso_ob
mwm_yso_cmz_0.1.0,12,149,4,mwm_yso,0.1.0,1.0,mwm_yso_cmz,mwm,yso,mwm_yso_cmz
mwm_yso_cluster_0.1.0,13,150,4,mwm_yso,0.1.0,1.0,mwm_yso_cluster,mwm,yso,mwm_yso_cluster
mwm_rv_long-fps_0.1.0,14,158,4,mwm_rv,0.1.0,1.0,mwm_rv_long-fps,mwm,bin,mwm_bin_rv_long
mwm_rv_long-bplates_0.1.0,15,160,4,mwm_rv,0.1.0,1.0,mwm_rv_long-bplates,mwm,bin,mwm_bin_rv_long
mwm_ob_cepheids_0.1.0,16,163,4,mwm_ob,0.1.0,1.0,mwm_ob_cepheids,mwm,ob,mwm_ob_cepheids
mwm_rv_short-fps_0.1.0,17,164,4,mwm_rv,0.1.0,1.0,mwm_rv_short-fps,mwm,bin,mwm_bin_rv_short
mwm_rv_short-bplates_0.1.0,18,165,4,mwm_rv,0.1.0,1.0,mwm_rv_short-bplates,mwm,bin,mwm_bin_rv_short
